AcX,AcY,AcZ,GyX,GyY,GyZ,bpm,label
13160,12400,5036,-8467,20987,-32768,69.1,
1052,5532,5916,-11115,22834,-32768,65.1,
-15000,700,7268,-3393,15034,-21790,67.0,
-27488,5464,5916,-9237,-418,-12122,68.3,
-22196,6780,9548,-18160,-16355,-4242,70.6,
-10668,2292,13764,-18466,-19442,30894,64.2,
-7080,-6344,11196,-13658,-15987,32767,71.0,
-1956,-7904,4968,-3692,-8857,32767,65.0,
4728,-14344,9152,-10015,-962,22293,65.9,
1604,-10244,8844,7239,8203,3300,67.1,
-5908,-14832,10816,-6383,5226,-5125,66.6,
-3308,-17860,18164,5735,9358,-14546,67.3,
-12964,-11900,17516,16604,7989,-14370,74.6,
-12656,-480,13548,16127,3454,-13931,60.2,
-18272,-920,14312,3081,2938,-4686,63.1,
-4868,-4968,2696,-9824,8717,6757,71.3,
-11140,-12000,10012,-2326,23629,5719,63.2,
-14416,-6740,2064,163,12524,2206,62.4,
-17760,-4280,1800,8867,-350,-3842,69.2,
-13640,-4124,2224,-10420,-9765,-1629,69.5,
-11788,-6752,1896,-19972,-10740,-5260,67.7,
-13388,-9824,1480,-10769,-1473,-8614,56.7,
-13848,-11228,3112,26892,11325,-10954,66.9,
-14464,-5392,-792,32767,7313,-7682,58.4,
-15700,-3780,2464,8209,3457,829,67.7,
-12832,-3456,3760,6405,2412,-3076,69.6,
-13372,-8076,3568,-2152,398,-2648,68.4,
-11392,-11184,4876,7628,2733,-2285,60.5,
-20664,-9240,-944,9283,-4375,-2858,65.8,
-15388,-6684,460,2004,-5902,-16401,67.7,
-14288,-6696,536,5711,-2802,-13643,59.6,
-13884,-7480,1260,9267,1829,-938,80.0,
-17188,-2872,400,9412,5512,3279,77.9,
-13288,-6464,7624,-75,10209,14859,68.3,
-15748,-6336,-1372,-22167,4561,21454,68.0,
-13076,-2220,5460,18245,10918,-1792,69.1,
-13448,-2924,5948,-5436,1047,863,65.7,
-13632,-3564,6468,554,-1959,-4365,68.9,
-13976,-5028,2476,-18710,-6233,-9240,73.7,
-17908,-9344,1956,-3632,514,-15430,70.9,
-16208,-10336,2496,12358,1746,-11809,61.8,
-15412,-8376,1340,9683,-3395,-5379,67.4,
-13144,-5740,3068,6834,-5156,-7472,62.2,
-11864,-4968,864,-9395,-7657,322,65.8,
-12076,-7504,1968,-7711,-2811,9628,61.0,
-13200,-8096,3900,-14969,186,5140,69.3,
-11776,-7208,6088,977,2660,-4115,81.0,
-20116,-6228,3732,1387,-3141,-7030,68.3,
-19360,-7712,3288,892,-3109,-12520,69.4,
-18640,-4352,-348,-9133,-9599,-13561,69.9,
-10644,-5936,1468,-5299,-5697,-13556,64.1,
-12872,-6256,816,5925,-3625,-2390,64.5,
-12548,-4188,272,-4978,-9999,13454,65.8,
-27172,-8916,-10808,-32768,-21979,31077,73.3,
-10464,-4672,3568,23057,12224,15507,70.0,
-14324,-7308,-1668,-31666,-5784,3576,67.6,
-11992,-9348,2360,-24240,811,12249,67.4,
-17680,-7904,4124,-10881,7246,9614,83.6,
-18124,-10328,7040,-9627,5365,2327,65.7,
-12464,-5160,2892,-894,-4051,-7120,67.8,
-22328,-7372,-632,3405,-8976,-10606,63.2,
-14564,-7740,2772,-7331,-8139,-12128,66.8,
-18248,-7164,-216,8670,-5159,-12684,68.8,
-12076,-7840,3700,6696,-1106,-9991,65.0,
-11380,-5448,2052,24798,10760,-3340,69.0,
-15124,-7684,780,-32768,1475,18836,69.8,
-14816,-7896,1980,5840,6700,-1229,71.9,
-13664,-108,3632,871,2737,-4707,66.2,
-11352,-5632,7484,-7566,2455,-2055,69.3,
-14128,-2808,5612,11936,2613,-2917,68.1,
-15804,-6080,5300,7242,-2802,-2098,63.8,
-17892,-4632,648,-871,-18718,838,65.6,
-19968,-13332,3340,-19666,-18816,-14964,64.2,
-15004,-10764,1052,3834,-7934,-22333,66.7,
-11920,-10180,-196,193,-2378,-20877,67.1,
-11832,-17428,4316,15297,24950,-22334,68.4,
-14960,13872,15888,32767,2329,-5715,63.7,
-996,-18336,3532,-4694,-6901,-5638,69.4,
4292,-7968,5152,-4078,-3535,1150,66.2,
6348,-20048,9052,13348,4050,4791,64.0,
3500,-32768,7088,-17953,-1780,-4425,69.9,
708,-4684,2384,-17645,-489,-2170,80.0,
7796,-19344,5024,17469,10675,3945,78.2,
5352,-19992,9532,32504,9429,5384,69.4,
-8788,1152,5068,10934,15022,22128,64.5,
-22116,-6496,-412,5345,12854,10975,68.9,
-15156,-5280,5312,-14252,126,11247,70.2,
-12176,-5800,7264,11465,2615,2278,68.3,
-14280,-4096,4796,9555,-1893,-5471,68.0,
-20312,-6600,5452,11782,-5653,-12508,63.8,
-24744,-8208,-100,7801,-13955,-16489,66.9,
-12948,-5368,-1912,-22553,-15011,-21571,61.0,
-16240,-9328,900,-2401,-2173,-21041,62.1,
-14364,-1792,3052,6598,3007,-4634,67.4,
-9584,2744,4948,11257,7128,9373,76.3,
-15600,-10988,5832,10573,6077,19701,64.5,
